timestamp,id,hertz,acceleration,magnetic,gyro
2024-02-23T22:04:51.860859,2,10,"[-0.46839502395, 0.76749784895, 9.9960164115]","[0.16982000000000003, -0.47558000000000006, -0.32508000000000004]","[-0.02168571595602955, 0.031001410838549282, -0.03665191429188092]"
2024-02-23T22:04:51.960935,2,10,"[-0.40677984199999995, 0.6305087550999998, 9.746564655449998]","[0.17598000000000003, -0.46354, -0.31794000000000006]","[-0.03741549583962844, -0.025961772623415653, -0.004123340357836604]"
2024-02-23T22:04:52.060976,2,10,"[-0.27218357075, 0.59401821045, 9.949954576449999]","[0.17486000000000002, -0.46158000000000005, -0.31360000000000005]","[-0.009010262263420728, -0.01069014166846527, -0.014202616788103858]"
2024-02-23T22:04:52.161064,2,10,"[-0.26979074815, 0.5575276658, 9.936794052149999]","[0.17234, -0.47418000000000005, -0.31850000000000006]","[-0.006261368691529657, -0.004276056667386108, -0.012370021073509813]"
2024-02-23T22:04:52.261134,2,10,"[-0.30448667585, 0.5341976454499999, 9.9373922578]","[0.17178000000000002, -0.46970000000000006, -0.32634]","[-0.006261368691529657, -0.004886921905584123, -0.0119118721448613]"
2024-02-23T22:04:52.361213,2,10,"[-0.27577280465, 0.5371886737, 9.9529456047]","[0.16786, -0.47418000000000005, -0.32830000000000004]","[-0.0035124751196385882, -0.0070249502392771765, -0.011759155835311796]"
2024-02-23T22:04:52.461244,2,10,"[-0.2895315346, 0.56410792795, 9.97148997985]","[0.17346, -0.47502000000000005, -0.33194000000000007]","[-0.006108652381980154, -0.004581489286485115, -0.016493361431346415]"
2024-02-23T22:04:52.561342,2,10,"[-0.3296113131499999, 0.5425725245499999, 9.9146604431]","[0.17822000000000002, -0.47390000000000004, -0.32480000000000003]","[-0.009010262263420728, -0.0276416520284602, -0.011759155835311796]"
2024-02-23T22:04:52.661405,2,10,"[-0.30329026454999997, 0.59042897655, 9.940981491699999]","[0.17038000000000003, -0.46830000000000005, -0.32228]","[-0.006108652381980154, -0.0044287729769356115, -0.014966198335851376]"
2024-02-23T22:04:52.761490,2,10,"[-0.30508488149999996, 0.5922235935, 9.949954576449999]","[0.16926000000000002, -0.46522, -0.33012]","[-0.007177666548826681, -0.0035124751196385882, -0.013591751549905842]"
2024-02-23T22:04:52.861524,2,10,"[-0.30329026454999997, 0.5748756296499999, 9.92004429395]","[0.17598000000000003, -0.47054, -0.3129]","[-0.008552113334772215, -0.004581489286485115, -0.011606439525762293]"
2024-02-23T22:04:52.961613,2,10,"[-0.28474588939999995, 0.58205409745, 9.855438083749998]","[0.16786, -0.46662000000000003, -0.31388000000000005]","[0.0003054326190990077, 0.003054326190990077, -0.013897184169004852]"
2024-02-23T22:04:53.061681,2,10,"[-0.26261228035, 0.5898307708999999, 9.942177903]","[0.17206, -0.47474000000000005, -0.32508000000000004]","[-0.005345070834232635, -0.006566801310628666, -0.013133602621257331]"
2024-02-23T22:04:53.161761,2,10,"[-0.31824540579999994, 0.5563312544999999, 9.890732217099998]","[0.17822000000000002, -0.47782, -0.31220000000000003]","[-0.004886921905584123, -0.0035124751196385882, -0.012217304763960308]"
2024-02-23T22:04:53.261816,2,10,"[-0.31166514365, 0.5754738353000001, 9.92602635045]","[0.16842000000000001, -0.46886000000000005, -0.32536000000000004]","[-0.0038179077387375964, -0.0036651914291880926, -0.013591751549905842]"
2024-02-23T22:04:53.361885,2,10,"[-0.22073788485, 0.60000026695, 10.112666513249998]","[0.17486000000000002, -0.46914000000000006, -0.31052]","[-0.0015271630954950385, 0.007635815477475193, -0.010537425358915765]"
2024-02-23T22:04:53.461968,2,10,"[-0.41515472109999996, 0.5653043392499999, 9.81834933345]","[0.17262, -0.46690000000000004, -0.33012]","[-0.008246680715673207, 0.0006108652381980154, -0.009621127501618741]"
2024-02-23T22:04:53.562034,2,10,"[-0.2608176634, 0.63828542855, 9.940383286049999]","[0.17906000000000002, -0.47222000000000003, -0.33754]","[-0.004886921905584123, 0.007483099167925688, -0.013286318930806834]"
2024-02-23T22:04:53.662097,2,10,"[-0.2967100024, 0.5371886737, 9.9146604431]","[0.17654000000000003, -0.4655000000000001, -0.32018]","[-0.006719517620178169, -0.0056505034533316425, -0.014966198335851376]"
2024-02-23T22:04:53.762178,2,10,"[-0.27337998204999997, 0.61675002515, 9.9170532657]","[0.17458, -0.4596200000000001, -0.3178]","[-0.005192354524683131, -0.0022907446432425577, -0.010537425358915765]"
2024-02-23T22:04:53.862219,2,10,"[-0.28295127244999996, 0.6041877065, 9.934401229549998]","[0.17626000000000003, -0.47250000000000003, -0.32298000000000004]","[-0.007330382858376185, -0.0038179077387375964, -0.013744467859455347]"
2024-02-23T22:04:53.962296,2,10,"[-0.30209385325, 0.5688935731499999, 9.91525864875]","[0.16982000000000003, -0.4655000000000001, -0.32676000000000005]","[-0.0056505034533316425, -0.00473420559603462, -0.008399397025222712]"
2024-02-23T22:04:54.062340,2,10,"[-0.2919243572, 0.7411768003499999, 9.9158568544]","[0.17458, -0.46914000000000006, -0.31486000000000003]","[-0.008246680715673207, -0.006261368691529657, -0.012217304763960308]"
2024-02-23T22:04:54.162432,2,10,"[-0.47258246349999994, 0.5826523030999999, 9.853643466800001]","[0.17458, -0.47558000000000006, -0.31682000000000005]","[-0.004123340357836604, -0.010231992739816757, -0.014355333097653362]"
2024-02-23T22:04:54.262497,2,10,"[-0.2883351233, 0.5252245607, 9.94875816515]","[0.17094000000000004, -0.46886000000000005, -0.32438000000000006]","[-0.002901609881440573, -0.01466076571675237, -0.010384709049366262]"
2024-02-23T22:04:54.362618,2,10,"[-0.27696921594999996, 0.5706881900999999, 9.9338030239]","[0.17178000000000002, -0.46242, -0.32032000000000005]","[-0.004581489286485115, -0.00473420559603462, -0.015424347264499889]"
2024-02-23T22:04:54.462662,2,10,"[-0.29970103065, 0.4791627256499999, 9.9517491934]","[0.1743, -0.46718000000000004, -0.31262]","[-0.004581489286485115, -0.002138028333693054, -0.008704829644321718]"
